,Book-Author,Description
832,John Eldredge,"John Eldredge is an American author, counselor, and lecturer on Christianity. He is known for his best-selling book Wild at Heart."
833,Jennifer Boudart,
837,Jennifer Armstrong,"Jennifer Mary Armstrong is an American children's writer known for both fiction and non-fiction. She was born in Waltham, Massachusetts, grew up outside of New York City, and now lives in Saratoga Springs, New York. She was formerly married to the author James Howard Kunstler."
838,Marguerite Henry,"Marguerite Henry was an American writer of children's books, writing fifty-nine books based on true stories of horses and other animals. She won the Newbery Medal for King of the Wind, a 1948 book about horses, and she was a runner-up for two others. One of the latter, Misty of Chincoteague (1947), was the basis for several sequels and the 1961 movie Misty."
839,Chaim Potok,"Chaim Potok was an American author, novelist, playwright, editor and rabbi. Of the more than dozen novels he authored, his first book The Chosen (1967), was listed on The New York Times’ best seller list for 39 weeks and sold more than 3,400,000 copies and which was adapted into a well-received 1981 feature film by the same title."
840,Taste of Home,"Taste of Home is an American media brand centered on food. It is an example of user-generated content in magazines, publishing recipes submitted by home cooks. Taste of Home is owned by Trusted Media Brands, which also owns Reader's Digest, Birds and Blooms and The Family Handyman."
841,Mary Rowitz,
842,Amy Adair,
843,Donna-Marie Pye,
844,Holly Stowe,
845,Publications International,
846,Kathleen S Dickason,
852,August Derleth,"August William Derleth was an American writer and anthologist. Though best remembered as the first book publisher of the writings of H. P. Lovecraft, and for his own contributions to the Cthulhu Mythos and the cosmic horror genre, as well as his founding of the publisher Arkham House, Derleth was a leading American regional writer of his day, as well as prolific in several other genres, including historical fiction, poetry, detective fiction, science fiction, and biography."
853,Stephen Inwood,
854,Alfred Lansing,"
Alfred Mark Lansing was an American journalist and writer, best known for his book Endurance: Shackleton's Incredible Voyage (1959), an account of Sir Ernest Shackleton's Antarctic explorations."
855,Margaret Weis,"Margaret Edith Weis is an American fantasy and science fiction author, of dozens of novels and short stories. At TSR, Inc., she teamed with Tracy Hickman to create the Dragonlance role-playing game (RPG) world. She is founding CEO and owner of Sovereign Press, Inc and Margaret Weis Productions, licensing several popular television and movie franchises to make RPG series in addition to their own."
856,Deborah Raffin,"Deborah Iona Raffin was an American actress, model and audiobook publisher."
857,Sheila Weller,
858,Michael Viner,"Michael Ames Viner was an American film producer and record producer, who later shifted into book publishing and became an innovator in the audiobook field. A widely sampled percussion break in the recording of the song ""Apache"" by the Incredible Bongo Band, a group he assembled in the early 1970s, has been frequently integrated into many hip hop recordings."
859,Tracy Hickman,"Tracy Raye Hickman is an American fantasy author. He wrote the Dragonlance novels with Margaret Weis. He also wrote role playing game material while working for TSR and has cowritten novels with his wife, Laura Hickman. He is the author or co-author of over 60 books."
861,Aaron Acevedo,
862,Charles Ryan,"Charles Ryan may refer to:Sir Charles Lister Ryan (1831–1920), English civil servant
Sir Charles Ryan (surgeon) (1853–1926), Australian surgeon and army officer
Charles Ryan (mayor) (1927–2021), American politician and mayor of Springfield, Massachusetts
Charles Ryan, American game designer of role-playing games
Charles Ryan (footballer), English footballer
"
863,Elaine Cunningham,"Elaine Cunningham is an American fantasy and science fiction author, especially known for her contributions to the Dungeons & Dragons role playing game campaign setting of Forgotten Realms."
864,Don Perrin,Don Perrin is a Canadian writer and former military officer.
866,Geoff Tibballs,
867,Jack Kelly,John or Jack Kelly may refer to:
868,Brendan O'Connor,"Brendan O'Connor may refer to:Brendan O'Connor, Irish comedian, columnist, and media personality
Brendan O'Connor (politician), Australian politician and federal government minister
Brendan O'Connor (soldier), Special Forces medical sergeant"
869,Drew Carey,"Drew Allison Carey is an American comedian, actor, and game show host. After serving in the U.S. Marine Corps and making a name for himself in stand-up comedy, Carey gained stardom in his own sitcom, The Drew Carey Show, and as host of the U.S. version of the improv comedy show Whose Line Is It Anyway?, both of which aired on ABC. He then appeared in several films, television series, music videos, a made-for-television film, and a computer game. Carey has hosted the game show The Price Is Right since October 15, 2007, on CBS."
871,Gerry Brown,"Gerry ""the Gov."" Brown is a recording engineer, mixer and music producer based in Los Angeles, best known for his work with artists including Whitney Houston, John Legend, Earth, Wind & Fire, Madonna, Sting, Prince, Phil Collins, Marcus Miller, Wayne Shorter and Victor Wooten. He is credited on multiple RIAA Gold and Platinum certified albums."
872,Barbara Rowley,
873,Fredric J. Pashkow,
874,Gerard J. Waggett,
875,Ariel Gore,"Ariel Gore is a journalist, memoirist, novelist, nonfiction author, and teacher. Gore has authored more than ten books. Gore's fiction and nonfiction work also explores creativity, spirituality, queer culture, and positive psychology. She is the founding editor/publisher of Hip Mama, an Alternative Press Award-winning publication covering the culture and politics of motherhood. Through her work on Hip Mama, Gore is widely credited with launching maternal feminism and the contemporary mothers' movement."
876,Allison Anders,"Allison Anders is an American independent film director whose films include Gas Food Lodging, Mi Vida Loca and Grace of My Heart. Anders has collaborated with fellow UCLA School of Theater, Film and Television graduate Kurt Voss and has also worked as a television director. Anders' films have been shown at the Cannes International Film Festival and at the Sundance Film Festival. She has been awarded a MacArthur Genius Grant as well as a Peabody Award."
877,Larry Flynt,"Larry Claxton Flynt Jr. was an American publisher and the president of Larry Flynt Publications (LFP). LFP mainly produces pornographic magazines, such as Hustler, pornographic videos, and three pornographic television channels named Hustler TV. Flynt fought several high-profile legal battles involving the First Amendment, and unsuccessfully ran for public office. He was paralyzed from the waist down due to injuries sustained in a 1978 assassination attempt by serial killer Joseph Paul Franklin. In 2003, Arena magazine listed him at No. 1 on the ""50 Powerful People in Porn"" list."
879,James Vornberg,
880,Anne Kent Rush,
881,Martin Kazmaier,
882,Santi Visalli,Santi Visalli is an American photographer and photojournalist who covered the news from social issues to politics to lifestyles to entertainment for over 40 years beginning in the 1960s.
883,Sonja Bullaty,"Sonja Vera Bullaty was a Czech-American photographer. Bullaty is known for her ""lyrical composition"" and strong use of color during her fifty-year collaboration with her husband, Angelo Lomeo. Bullaty and Lomeo's photographs appeared in LIFE, Time and Audubon magazines and journal. They have both exhibited at the Metropolitan Museum of Art, the International Center of Photography, the George Eastman House, UMPRUM Museum in Prague, in the Nikon House galleries and other venues."
